author,text
Adolf Hitler,"Two Powers are in a position to determine the future development of Europe: England and France. England's aim remains eternally the same: to balkanize Europe and to establish a balance of power in Europe so that her position in the world will not be threatened. ENGLAND IS NOT ON PRINCIPLE AN ENEMY OF GERMANY, IT IS THE POWER WHICH SEEKS TO GAIN THE FIRST PLACE IN EUROPE. The declared enemy of Germany is France. Just as England needs the balkanization of Europe, so France needs the balkanization of Germany in order to gain hegemony in Europe. After four and a half years of bitter struggle at last through the Revolution the scale of victory turned in favor of the coalition of these two Powers, with the following result: France was faced with the question: Was she to realize her eternal war-aim or not? That means: Could France destroy Germany and deprive it of all the sources whereby its people was fed? Today France watches the ripening to fulfillment of her age-old plan: it matters not what Government will be at the helm in France: the supreme aim will remain - the annihilation of Germany, the extermination of twenty million Germans, and the dissolution of Germany into separate States...."
Adolf Hitler,"All about us the warning signs of this collapse are apparent. Communism with its method of madness is making a powerful and insidious attack upon our dismayed and shattered nation. It seeks to poison and disrupt in order to hurl us into an epoch of chaos.... This negative, destroying spirit spared nothing of all that is highest and most valuable. Beginning with the family, it has undermined the very foundations of morality and faith and scoffs at culture and business, nation and Fatherland, justice and honor. Fourteen years of Marxism have ruined Germany; one year of bolshevism would destroy her. The richest and fairest territories of the world would be turned into a smoking heap of ruins. Even the sufferings of the last decade and a half could not be compared to the misery of a Europe in the heart of which the red flag of destruction had been hoisted. The thousands of wounded, the hundreds of dead which this inner strife has already cost Germany should be a warning of the storm which would come...."
Adolf Hitler,"Unfortunately it is precisely the German who is only too inclined at such times, instead of looking at his own internal life, to let his gaze range into the far distance. Our people has been so long falsely taught to think in international terms that even in such a distress as the present it tends to treat this problem, too, from international points of view. And the result is that many of us simply cannot believe that perhaps it might be possible to remedy such a misfortune in some other way than by international methods. And yet that is an error. It is natural that international infirmities which afflict all peoples in one way or another must be removed by the peoples who suffer from them, but that in no way alters the fact that every people must wage this battle on its own behalf, and above all that no single people can be liberated from this distress by international methods if it does not for its own part take the necessary measures. These measures can, of course, find their place within the framework of international measures, but one's own action must not be made dependent upon the action of others."
Adolf Hitler," It is not necessary for me to strengthen the fame of the National Socialist Movement, far less that of the German Army, through military triumphs. He who is undertaking such great economic and cultural tasks as we are and is so determined to carry them through can find his fairest memorial only in peace.... But this bolshevism which as we learned only a few months since intends to equip its army so that it may with violence, if necessary, open the gate to revolution amongst other peoples - this bolshevism should know that before the gate of Germany stands the new German Army.... I believe that as a National Socialist I appear in the eyes of many bourgeois democrats as only a wild man. But as a wild man I still believe myself to be a better European, in any event a more sensible one, than they. It is with grave anxiety that I see the possibility in Europe of some such development as this: democracy may continuously disintegrate the European States, may make them internally ever more uncertain in their judgment of the dangers which confront them, may above all cripple all power for resolute resistance. Democracy is the canal through which bolshevism lets its poisons flow into the separate countries and lets them work there long enough for these infections to lead to a crippling of intelligence and of the force of resistance. I regard it as possible that then - in order to avoid something still worse - coalition governments, masked as Popular Fronts or the like, will be formed and that these will endeavor to destroy - and perhaps will successfully destroy - in these peoples the last forces which remain, either in organization or in mental outlook, which could offer opposition to bolshevism."
Adolf Hitler,"The National Socialist program replaces the liberalistic conception of the individual by the conception of a people bound by their blood to the soil. Of all the tasks with which we are confronted, it is the grandest and most sacred task of man to preserve his race. This will not lead to an estrangement of the nations; on the contrary, it will lead for the first time to a mutual understanding. It will also prevent the Jewish people from trying to disintegrate and dominate other people under the mask of an innocent bourgeoisie."
Adolf Hitler,"Within a few weeks the social prejudices of a thousand years were swept away. So great was the Revolution that its spiritual foundations have not been understood even today by a superficial world. They speak of democracies and dictatorships, and have not realized that in this country a Revolution has taken place that can be described as democratic in the highest sense of the word. Does a more glorious socialism or a truer democracy exist than that which enables any German boy to find his way to the head of the nation? The purpose of the Revolution was not to deprive a privileged class of its rights, but to raise a class without rights to equality...."
Adolf Hitler,"It was perfectly clear to me that this return could be compelled only by our own strength. The rest of the world, for the largest part, had no understanding. It neither saw nor wanted to see that here, 10,000,000 humans, in violation of the so-called right of self-determination of peoples, had been separated from the German people and the Reich and had been maltreated. But it has not understood that these human beings had but one great yearning, namely, to return to the Reich. These international world citizens have compassion indeed, for every scoundrel who is called to account in Germany, but they are deaf to the sufferings of millions. That world is still filled with the spirit of Versailles. It did not free itself from it. No, Germany has liberated herself from it."
Adolf Hitler,"Even today it still is a mixture of terrible inconsiderateness and appalling ignorance for these countries to overlook justice and give lasting effect to injustice. And so these world democracies remained deaf for twenty years to all the sufferings and demands of 10,000,000 Germans. Accordingly, a hard decision had to be made. Among us, too, there were weak characters who did not understand this. It is self-evident, however, that statesmen conscious of their responsibility made it a point of honor to take responsibility."
Adolf Hitler,The following were the preconditions for bringing about and carrying through solutions:
Adolf Hitler,"First, internal unity of the nation. I am convinced I am Leader of a manly people. I know what probably many in the rest of the world and even isolated ones in Germany do not seem as yet to know - namely, that the people of the year 1938 are not the people of 1918. Only those who were blind concerning National Socialism could overlook the tremendous work of education that the good philosophy of life has accomplished. There has been created today a community of spirit throughout our people of power and strength such as Germany never before has known. This was the first precondition for the undertaking, and for the success of this task."
Adolf Hitler,"No one in this democratic world bothered himself any more about the sufferings of our people. Hundreds of thousands fell in the war, not from enemy weapons, but from the hunger blockade. And after the war ended, this blockade was continued for months in order to oppress our people still more."
Adolf Hitler,"Even German war prisoners, after an endless time, had to remain in captivity. The German colonies were stolen from us, German foreign holdings were simply seized and our merchant marine taken away."
Adolf Hitler,Added to that was a financial plundering such as the world had never before seen. The monetary penalties which were imposed on the German people reached astronomical figures.
Adolf Hitler,"Of these an English statesman said that they could only be fulfilled when the German standard of living was reduced to the lowest possible level and Germans worked fourteen hours daily. What German spirit, German alertness, and German labor through decades and decades had collected and saved was lost in a few years."
Adolf Hitler,"Millions of Germans were either torn away from the Reich or were prevented from returning to the Reich. The League of Nations was not an instrument of a just policy of understanding among nations, but is and was a guarantee of the meanest dictation man ever invented."
Adolf Hitler,"When, today, a British statesman demands that every problem which lies in the midst of Germany's life interest first should be discussed with England,. then I, too, could demand just as well that every British problem first is to be discussed with us."
Adolf Hitler,"Certainly, these Englishmen may give me the answer: 'The Germans have no business in Palestine!' I answer that we do not want anything in Palestine."
Adolf Hitler,"Just as we Germans have little to do in Palestine, just as little business has England mixing in our German section of existence. And if they now declare that it involves general questions of law and justice I could approve of this opinion only if it was considered as binding to both of us."
Adolf Hitler,"They say we have no right to do this or that. I should like to raise the counter-question: What right, for example, has England to shoot down Arabs in Palestine just because they defend their homeland; who gives them this right?"
Adolf Hitler,"Bolshevism has attacked the foundations of our whole human order, alike in State and society, the foundations of our conception of civilization, of our faith and of our morals: all alike are at stake. If this bolshevism would be content to promote this doctrine in a single land, then other countries might remain unconcerned, but its supreme principle is its internationalism and that means the confession of faith that these views must be carried to triumph throughout the whole world, i.e., that the world as we know it must be turned upside down. That a British headline-writer refuses to recognize this signifies about as much as if in the fifteenth century a humanist in Vienna should have refused to admit the intention of Mohammedanism to extend its influence in Europe and should have objected that this would be to tear the world asunder - to divide it into East and West. Unfortunately I cannot escape the impression that most of those who doubt the danger to the world of bolshevism come themselves from the East. As yet politicians in England have not come to know bolshevism in their own country; we know it already. Since I have fought against these Jewish Soviet ideas in Germany, since I have conquered and stamped out this peril, I fancy that I possess a better comprehension of its character than do men who have only at best had to deal with it in the field of literature.... I have won my successes simply because in the first place I endeavored to see things as they are and not as one would like them to be; secondly, when once I had formed my own opinion I never allowed weaklings to talk me out of it or to cause me to abandon it; and thirdly, because I was always determined in all circumstances to yield to a necessity when once it had been recognized. Today when fate has granted me such great successes I will not be disloyal to these funda- mental principles of mine...."
Adolf Hitler,". . .: It is not necessary for me to strengthen the fame of the National Socialist Movement, far less that of the German Army, through military triumphs. He who is undertaking such great economic and cultural tasks as we are and is so determined to carry them through can find his fairest memorial only in peace.... But this bolshevism which as we learned only a few months since intends to equip its army so that it may with violence, if necessary, open the gate to revolution amongst other peoples - this bolshevism should know that before the gate of Germany stands the new German Army.... I believe that as a National Socialist I appear in the eyes of many bourgeois democrats as only a wild man. But as a wild man I still believe myself to be a better European, in any event a more sensible one, than they. It is with grave anxiety that I see the possibility in Europe of some such development as this: democracy may continuously disintegrate the European States, may make them internally ever more uncertain in their judgment of the dangers which confront them, may above all cripple all power for resolute resistance. Democracy is the canal through which bolshevism lets its poisons flow into the separate countries and lets them work there long enough for these infections to lead to a crippling of intelligence and of the force of resistance. I regard it as possible that then - in order to avoid something still worse - coalition governments, masked as Popular Fronts or the like, will be formed and that these will endeavor to destroy - and perhaps will successfully destroy - in these peoples the last forces which remain, either in organization or in mental outlook, which could offer opposition to bolshevism."
Adolf Hitler,"I regard it as of the first importance to break once and for all with the view that our destiny is conditioned by world events. It is not true that our distress has its final cause in a world crisis, in a world catastrophe: the true view is that we have reached a state of general crisis, because from the first certain mistakes were made. I must not say 'According to the general view the Peace Treaty of Versailles is the cause of our misfortune.' What is the Peace Treaty of Versailles but the work of men? It is not a burden which has been imposed or laid upon us by Providence. It is the work of men for which, it goes without saying, once again men with their merits or their failings must be held responsible. If this were not so, how should men ever be able to set aside this work at all? I am of the opinion that there is nothing which has been produced by the will of man which cannot in its turn be altered by another human will."
Adolf Hitler,"Both the Peace Treaty of Versailles together with all the consequences of that Treaty have been the result of a policy which perhaps fifteen, fourteen, or thirteen years ago was regarded as the right policy, at least in the enemy States, but which from our point of view was bound to be regarded as fatal when ten or less years ago its true character was disclosed to millions of Germans and now today stands revealed in its utter impossibility. I am bound therefore to assert that there must of necessity have been in Germany, too, some responsibility for these happenings if I am to have any belief that the German people can exercise some influence towards changing these conditions."
Adolf Hitler,"IT IS ALSO IN MY VIEW FALSE TO SAY THAT LIFE IN GERMANY TODAY IS SOLELY DETERMINED BY CONSIDERATIONS OF FOREIGN POLICY, that the primacy of foreign policy governs today the whole of our domestic life. Certainly a people can reach the point when foreign relations influence and determine completely its domestic life. But let no one say that such a condition is from the first either natural or desirable. Rather the important thing is that a people should create the conditions for a change in this state of affairs."
Adolf Hitler,"If anyone says to me that its foreign politics is primarily decisive for the life of a people, then I must first ask: what then is the meaning of the term 'Politics'? There is a whole series of definitions. Frederick the Great said: 'Politics is the art of serving one's State with every means.' Bismarck's explanation was that 'Politics is the art of the Possible,' starting from the conception that advantage should be taken of every possibility to serve the State - and, in the later transformation of the idea of the State into the idea of nationalities, the Nation. Another considers that this service rendered to the people can be effected by military as well as peaceful action: for Clausewitz says that war is the continuation of politics though with different means. Conversely, Clemenceau considers that today peace is nothing but the continuation of war and the pursuing of the war-aim, though again with other means. To put it briefly: politics is nothing else and can be nothing else than the safeguarding of a people's vital interests and the practical waging of its life-battle with every means. Thus it is quite clear that this life-battle from the first has its starting-point in the people itself and that at the same time the people is the object - the real thing of value - which has to be preserved. All functions of this body formed by the people must in the last resort fulfill only one purpose - to secure in the future the maintenance of this body which is the people. I can therefore say neither that foreign policy nor economic policy is of primary significance. Of course, a people needs the business world in order to live. But business is but one of the functions of this body-politic whereby its existence is assured. But primarily the essential thing is the starting-point and that is the people itself...."
Adolf Hitler,"But I cannot regard it as possible that the life of a people should in the long run be based upon two fundamental conceptions. If the view is right that there are differences in human achievement, then it must also be true that the value of men in respect of the production of certain achievements is different It is then absurd to allow this principle to hold good only In one sphere - the sphere of economic life and its leadership - and to refuse to acknowledge its validity in the sphere of the whole life-struggle of a people - the sphere of politics. Rather the logical course is that if I recognize without qualification in the economic sphere the fact of special achievements as forming the condition of all higher culture, then in the same way I should recognize special achievement in the sphere of politics, and that means that I am bound to put in the forefront the authority of personality. If, on the contrary, it is asserted - and that, too, by those engaged in business - that in the political sphere special capacities are not necessary but that here an absolute equality in achievement reigns, then one day this same theory will be transferred from politics and applied to economic life. But in the economic sphere communism is analogous to democracy in the political sphere. We find ourselves today in a period in which these two fundamental principles are at grips in all spheres which come into contact with each other; already they are invading economics."
Adolf Hitler,"To take an example: Life in practical activity is founded on the importance of personality: but now gradually it is threatened by the supremacy of mere numbers. But in the State there is an organization - the army - which cannot in any way be democratized without surrendering its very existence. But if a Weltanschauung cannot be applied to every sphere of a people's life, that fact in itself is sufficient proof of its weakness. In other words: the army can exist only if it maintains the absolutely undemocratic principle of unconditional authority proceeding downwards and absolute responsibility proceeding upwards, while, in contradistinction to this, democracy means in practice complete dependence proceeding downwards and authority proceeding upwards. But the result is that in a State in which the whole political life - beginning with the parish and ending with the Reichstag - is built up on the conception of democracy, the army is bound gradually to become an alien body and an alien body which must necessarily be felt to be such. It is for democracy an alien world of ideas, an alien Weltanschauung which inspires the life of this body. An internal conflict between the representatives of the democratic principle and the representatives of the principle of authority must be the inevitable consequence, and this conflict we are actually experiencing in Germany...."
Adolf Hitler,"So in the same way the education to pacifism must of necessity have its effect right through life until it reaches the humblest individual lives. The conception of pacifism is logical if I once admit a general equality amongst peoples and human beings. For in that case what sense is there in conflict? The conception of pacifism translated into practice and applied to all spheres must gradually lead to the destruction of the competitive instinct, to the destruction of the ambition for outstanding achievement. I cannot say: in politics we will be pacifists, we reject the idea of the necessity for life to safeguard itself through conflict - but in economics we want to remain keenly competitive. If I reject the idea of conflict as such, it is of no importance that for the time being that idea is still applied in some single spheres. In the last resort political decisions are decisive and determine achievement in the single sphere...."
Adolf Hitler,"And now, my dear fellow-countrymen, do you believe that these men, who with us are going the same way, will end the Revolution? They do not wish the end of the Revolution, for they do not need it. For them the Revolution is milk and honey."
Adolf Hitler,"And further they cannot end the Revolution. For if one or another amongst the leaders were really not seducer but seduced, and today, driven by the inner voice of horror at his crime, were to step before the masses and make his declaration: 'We have all deceived ourselves: we believed that we could lead you out of misery, but we have in fact led you into a misery which your children and your children's children must still bear' - he cannot say that, he dare not say that, he would on the public square or in the public meeting be torn in pieces."
Adolf Hitler,"But amongst the masses there begins to flow a new stream - a stream of opposition. It is the recognition of the facts which is already in pursuit of this system, it already is hunting the system down; it will one day scourge the masses into action and carry the masses along with it. And these leaders, they see that behind them the anti-Semitic wave grows and grows; and when the masses once recognize the facts, that is the end of these leaders."
Adolf Hitler,"And thus the Left is forced more and more to turn to Bolshevism. In Bolshevism they see today the sole, the last possibility of preserving the present state of affairs. They realize quite accurately that the people is beaten so long as Brain and Hand can be kept apart. For alone neither Brain nor Hand can really oppose them. So long therefore as the Socialist idea is coined only by men who see in it a means for disintegrating a nation, so long can they rest in peace."
Adolf Hitler,"But it will be a sorry day for them when this Socialist idea is grasped by a Movement which unites it with the highest Nationalist pride, with Nationalist defiance, and thus places the Nation's Brain, its intellectual workers, on this ground. Then this system will break up, and there would remain only one single means of salvation for its supporters: viz. to bring the catastrophe upon us before their own ruin, to destroy the Nation's Brain, to bring it to the scaffold - to introduce Bolshevism."
Adolf Hitler,"So the Left neither can nor will help. On the contrary, their first lie compels them constantly to resort to new lies. There remains then the Right. And this party of the Right meant well, but it cannot do what it would because up to the present time it has failed to recognize a whole series of elementary principles."
Adolf Hitler,"In the first place the Right still fails to recognize the danger. These gentlemen still persist in believing that it is a question of being elected to a Landtag or of posts as ministers or secretaries. They think that the decision of a people's destiny would mean at worst nothing more than some damage to their so-called bourgeois-economic existence. They have never grasped the fact that this decision threatens their heads. They have never yet understood that it is not necessary to be an enemy of the Jew for him to drag you one day, on the Russian model, to the scaffold. They do not see that it is quite enough to have a head on your shoulders and not to be a Jew: that will secure the scaffold for you."
Adolf Hitler,"In consequence their whole action today is so petty, so limited, so hesitating and pusillanimous. They would like to - but they can never decide on any great deed, because they fail to realize the greatness of the whole period."
Adolf Hitler,"And then there is another fundamental error: they have never got it clear in their own minds that there is a difference or how great a difference there is between the conception 'National' and the word 'dynastic' or 'monarchistic.' They do not understand that today it is more than ever necessary in our thoughts as Nationalists to avoid anything which might perhaps cause the individual to think that the National Idea was identical with petty everyday political views. They ought day by day to din into the ears of the masses: 'We want to bury all the petty differences and to bring out into the light the big things, the things we have in common which bind us to one another. That should weld and fuse together those who have still a German heart and a love for their people in the fight against the common hereditary foe of all Aryans. How afterward we divide up this State, friends - we have no wish to dispute over that! The form of a State results from the essential character of a people, results from necessities which are so elementary and powerful that in time every individual will realize them without any disputation when once all Germany is united and free.'"
Adolf Hitler,"And finally they all fail to understand that we must on principle free ourselves from any class standpoint. It is of course very easy to call out to those on the Left, 'You must not be proletarians, leave your class-madness,' while you yourselves continue to call yourself 'bourgeois.' They should learn that in a single State there is only one supreme citizen - right, one supreme citizen - honor, and that is the right and the honor of honest work. They should further learn that the social idea must be the essential foundation for any State, otherwise no State can permanently endure."
Adolf Hitler,"The only sphere in which the Jewish international newspapers still today think that they can attack the new Reich is the cultural sphere. Here they attempt, by a constant appeal to the sentimentality - untroubled by any sort of knowledge - of the world-citizens of democracy to bewail the downfall of German culture: in other words, they lament the commercial closing-down of those elements which, as the heralds and exponents of the November Republic, forced their cultural characteristics, as unnatural as they were deplorable, upon the period between the two Empires; and which have now played out their role for good and all...."
Adolf Hitler,"Fortunately, however, despite the short time which the National Socialist leadership has been able to allot to works of culture, positive facts, here too, speak louder than any negative criticism. We Germans can today speak with justice of a new awakening of our cultural life, which finds its confirmation not in mutual compliments and literary phrases, but rather in positive evidences of cultural creative force. German architecture, sculpture, painting, drama, and the rest bring today documentary proof of a creative period in art, which for richness and impetuosity has rarely been matched in the course of human history. And although the Jewish-democratic press magnates in their effrontery even today seek brazenly to turn these facts upside down, we know that the cultural achievements of Germany will in a few years have won from the world respect and appreciation far more unstinted even than that which they now accord to our work in the material field. The buildings which are arising in the Reich today will speak a language that endures, a language, above all, more compelling than the Yiddish gabblings of the democratic, international judges of our culture. What the fingers of these poor wretches have penned or are penning the world will - perhaps unfortunately - forget, as it has forgotten so much else. But the gigantic works of the Third Reich are a token of its cultural renascence and shall one day belong to the inalienable cultural heritage of the Western world, just as the great cultural achievements of this world in the past belong to us today."
Adolf Hitler,"Moreover, it is naturally not decisive what attitude, if any, foreign peoples take toward our works of culture, for we have no doubt that cultural creative work, since it is the most sensitive expression of a talent conditioned by blood, cannot be understood, far less appreciated, by individuals or races who are not of the same or related blood. Therefore we do not trouble in any way to make German art and culture suit the tastes of international Jewry...."
Adolf Hitler,"The art of Greece is not merely a formal reproduction of the Greek mode of life, of the landscapes and inhabitants of Greece; no, it is a proclamation of the Greek body and of the essential Greek spirit. It does not make propaganda for an individual work, for the subject, or for the artist; it makes propaganda for the Greek world as such, which confronts us in Hellenism...."
Adolf Hitler,"And so art today will in the same way announce and herald that common mental attitude, that common view of life, which governs the present age. It will do this not because this age entrusts commissions to artists, but because the execution of these commissions can meet with understanding only if it reveals in itself the true essence of the spirit of this age. The mysticism of Christianity, at the period of its greatest intensity, demanded for the buildings which it ordered an architectonic form which not only did not contradict the spirit of the age, but rather helped it to attain that mysterious gloom which made men the more ready to submit to renunciation of self. The growing protest against this crushing of the freedom of the soul and of the will, which had lasted for centuries, immediately opened the way to new forms of expression in artistic creation. The mystic narrowness and gloom of the cathedrals began to recede and, to match the free life of the spirit, buildings became spacious and flooded with light. Mystical twilight gave way before increasing brightness. The unsteady, groping transition of the nineteenth century led finally in our days to that crisis which in one way or another had to find its solution. Jewry, with its bolshevist onslaught, might smash the Aryan States and destroy those native strata of the people whose blood destined them for leadership, and in that case the culture which had hitherto sprung from these roots would be brought to the same destruction...."
Adolf Hitler,"WHEN six years ago I took over the leadership of the Reich one of our so-called 'statesmen' of that day said: 'Now this man has taken the decisive step. Up to now he has been popular, because he has been in opposition. Now he must govern and we shall see in six or eight weeks how his popularity will look'! Six years - not six weeks only - have passed and I believe that they have been the most decisive years for German history. The most characteristic feature of this period is the close unity of the German people. What I have achieved in these six years was possible only because I had standing behind me the whole German people. The problems which faced us no single man could solve unaided: only when he could speak and, if necessary, also act in the name of the whole German people could he master these questions...."
Adolf Hitler,"During the last few months and weeks I have had in my foreign policy a great helper and previously, in my last speech in this hall [the Sportpalast], I expressed my thanks to the man who took his stand in support of Germany as a true, great friend, Benito Mussolini. He has thrown into the scale of a just solution the entire force not only of his own genius but of the power which stands behind him. I must also thank the two other great statesmen who at the last minute recognized the historical hour, declared themselves ready to give their support to the solution of one of Europe's most burning problems and who thereby made it possible for me, too, to offer the hand towards an understanding. But above all my thanks fly to the German people which in these long months has never deserted me. . . .. I am proud of my German people! I hope that in a few days the problem of the Sudeten Germans will be finally solved. By October 10 we shall have occupied all the areas which belong to us. Thus one of Europe's most serious crises will be ended, and all of us, not only in Germany but those far beyond our frontiers, will then in this year for the first time really rejoice at the Christmas festival. It should for us all be a true Festival of Peace...."
Adolf Hitler,"Above us all stands the motto: 'no one in the world will help us if we do not help ourselves.' This programme of self-help is a proud and manly programme. It is a different programme from that of my predecessors who continually ran round through the world, going a-begging now in Versailles, then in Geneva, now in Lausanne or at some conference or other elsewhere. It is a prouder thing that to-day we Germans are determined to solve our own problems and to help ourselves. . . ."
Adolf Hitler,"We have been witnesses of a great turning-point in history. At this moment we must bethink ourselves, too, of those who through twenty years in an apparently hopeless state still nursed a fanatical faith in Germany and never surrendered their *Deutschtum*-their life as Germans. It is so easy here in the heart of the Empire to profess one's belief in Germany. But it is inexpressibly difficult, in the face of an unceasing persecution, not to allow oneself to be drawn away from this faith - to remain fanatically true to it, as though redemption were coming the next day. But now the hour of redemption has come. I have just had my first sight of these areas and what moved me so profoundly was two impressions. First: I have often known the jubilation and the enthusiasm of joy, but here for the first time I have seen hundreds of thousands shedding tears of joy. And secondly I saw appalling distress. When in England a Duff Cooper or a Mr. Eden say that injustice has been done to the Czechs, then these men should just for once see what in reality has happened there. How can one so pervert the truth! I have seen here whole villages undernourished, whole towns reduced to ruin. My fellow-countrymen, you have a great debt of honor to pay! . . . I expect of you that the Winter Help Contribution of 1938-39 shall correspond with the historical greatness of this year."
Adolf Hitler,"In the history of our people the year 1938 will be a great, incomparable, proud year.... Later historians will show that the German nation found its way back again to the position of an honourable great nation - that our history has once more become a worthy history. . ."
Adolf Hitler,"Fourth, we have gained foreign friends. That axis that people in other countries so often think they can ridicule has, during the last two and a half years, not only proved durable but has proved that even in the worst hours it con- tinues to function. Nevertheless, we are especially happy that this task of the year 1938 of again joining 10,000,000 Germans and about 110,000 square kilometers [42,470 square miles] to the Reich could be accomplished in peace."
Adolf Hitler,"We are all so happy no blood was shed over this despite the hopes of so many international agitators and profiteers. If I mention the help of the rest of the world in bringing about this peaceful solution, I must again and again place at the head of it our only real friend whom we possess today - Benito Mussolini."
Adolf Hitler,"I know, and I know that you know what we owe this man. I should like also to mention two other statesmen who tried hard to find a way to peace and who, together with the great Italian and us have concluded an agreement that secured justice for 10,000,000 Germans and peace for the world. I am happy these millions of Germans are free, that they belong to us and that peace has been secured."
Adolf Hitler,"Nevertheless, the experiences, especially of the last eight months, must strengthen our resolve to be careful and never to leave anything undone that must be done for the protection of the Reich. Opposite us are statesmen who - that, we must believe of them - also want peace. HOWEVER, THEY GOVERN IN COUNTRIES WHOSE INTERNAL CONSTRUCTION MAKES IT POSSIBLE FOR THEM AT ANY TIME TO BE SUPPLANTED BY OTHERS WHO DO NOT AIM AT PEACE. THESE OTHERS ARE THERE. IN ENGLAND, IT MERELY IS NECESSARY THAT INSTEAD OF CHAMBERLAIN, A DUFF COOPER OR AN EDEN OR A CHURCHILL COME INTO POWER. WE KNOW THAT THE AIM OF THESE MEN WOULD BE TO START WAR. They do not attempt to hide it. That obligates us to be on the watch to think of the protection of the Reich."
Adolf Hitler,"We know further that now, as before, there is lurking threateningly that Jewish-international world enemy who has found a living expression in bolshevism. We also know the power of the international press that lives solely on lies and calumniation. In view of this peculiarity of the world about us and of these forces we must be careful about the future. We must at all times have a will for peace but be ready for defense."
Adolf Hitler,"I have, therefore, decided to continue construction of our fortifications in the west with increased energy as already indicated in my Nuremberg speech. Also, I shall include large districts that hitherto lay before our fortifications namely the Aachen region and Saarbruecken region, in this belt of fortifications. That will be done for the protection of the Reich."
Adolf Hitler,"As for the rest, I am happy now to be able within the next few days to rescind those measures that we have projected or been compelled to introduce during critical months and weeks. I am happy hundreds of thousands of men can go home and reservists can be discharged. I am happy to be able to thank them for doing their duty. I am particularly happy to be able to thank the German people for having conducted itself in so wonderfully manly a manner. Especially do I thank a hundred thousand German workers, engineers and others of whom 10,000 are standing in your midst - men who helped build fortifications. You have helped, my comrades, to secure peace for Germany, and so, as a strong State, we are ready at all times to embark upon a policy of understanding with the world about us. We can do that. We want nothing from others. We have no wishes or demands. We want peace."
Adolf Hitler,There is only one thing - THIS REFERS TO OUR RELATIONS TO ENGLAND: IT WOULD BE GOOD IF IN ENGLAND CERTAIN MANNERISMS HELD OVER FROM THE VERSAILLES PERIOD WERE DISCARDED. WE JUST CANNOT STAND FOR A GOVERNESS-LIKE GUARDIANSHIP OF GERMANY.
Adolf Hitler,"Inquiries by British statesmen or Parliamentarians concerning the fate of the Reich's subjects inside Germany are out of order. We do not bother about similar things in England. The rest of the world would sometimes have had reason enough to bother about international happenings - happenings in Palestine. We leave this to those who feel themselves pre-ordained by God to solve these problems. And we observe with amazement how they do solve them. We must, however, give these gentlemen advice to attend even more to the solution of their own problems and to leave us in peace."
Adolf Hitler,"It also is part of the task of securing world peace that responsible statesmen and politicians look after their own affairs and refrain from constantly meddling talk with the problems of other countries and peoples. By such mutual considerateness, preconditions are really created for durable peace, of which no one is more earnestly desirous than the German people."
